job_title,required_skills,salary,SDG_category,min_education,training_duration,pathway_steps,training_providers_link

# ============================================
# 💻 TECHNOLOGY & IT
# ============================================
Software Developer,"programming, python, java, c++, problem solving, analytical thinking","₹30,000 - ₹60,000",Industry Innovation,12th_pass,6,"Learn programming basics|Master a programming language|Build projects|Apply for jobs|Start career",https://www.coursera.org
Web Developer,"html, css, javascript, react, angular, web design","₹25,000 - ₹50,000",Industry Innovation,12th_pass,6,"Learn HTML/CSS|Learn JavaScript|Learn a framework|Build websites|Get job",https://www.freecodecamp.org
Full Stack Developer,"html, css, javascript, python, react, node.js, mongodb, mysql","₹40,000 - ₹80,000",Industry Innovation,graduate,8,"Learn frontend|Learn backend|Learn databases|Build full projects|Apply for jobs",https://www.theodinproject.com
Data Scientist,"python, statistics, machine learning, data visualization, sql","₹50,000 - ₹100,000",Industry Innovation,graduate,8,"Learn Python|Learn Statistics|Learn ML|Build projects|Apply for jobs",https://www.kaggle.com
Data Analyst,"python, sql, excel, data visualization, statistics, tableau","₹30,000 - ₹55,000",Industry Innovation,graduate,6,"Learn Python|Learn SQL|Learn Excel|Build dashboards|Get job",https://www.datacamp.com
Machine Learning Engineer,"python, deep learning, tensorflow, pytorch, nlp, computer vision","₹60,000 - ₹120,000",Industry Innovation,graduate,10,"Learn Python|Learn ML concepts|Learn Deep Learning|Build models|Apply for jobs",https://www.tensorflow.org
AI Engineer,"python, machine learning, deep learning, nlp, computer vision, reinforcement learning","₹70,000 - ₹150,000",Industry Innovation,graduate,12,"Learn Python|Learn ML|Learn Deep Learning|Learn NLP/CV|Build AI projects|Apply",https://www.deeplearning.ai
Cloud Engineer,"aws, azure, docker, kubernetes, linux, networking","₹45,000 - ₹90,000",Industry Innovation,graduate,8,"Learn Linux|Learn AWS|Learn Docker|Learn Kubernetes|Get certified|Apply",https://aws.amazon.com/training
DevOps Engineer,"linux, docker, kubernetes, jenkins, git, aws, azure","₹50,000 - ₹100,000",Industry Innovation,graduate,8,"Learn Linux|Learn Docker|Learn Kubernetes|Learn Jenkins|Learn AWS|Apply",https://www.devops.com
Cybersecurity Analyst,"networking, linux, python, security tools, risk management","₹40,000 - ₹80,000",Industry Innovation,graduate,8,"Learn Networking|Learn Linux|Learn Security tools|Get certified|Apply",https://www.cybrary.it
Network Engineer,"networking, cisco, routing, switching, firewall, tcp/ip","₹35,000 - ₹65,000",Industry Innovation,12th_pass,6,"Learn Networking basics|Learn Cisco|Get CCNA|Practice|Get job",https://www.cisco.com
Database Administrator,"sql, mysql, postgresql, mongodb, database management, backup","₹35,000 - ₹60,000",Industry Innovation,graduate,6,"Learn SQL|Learn database concepts|Learn backup/restore|Get certified|Apply",https://www.oracle.com
System Administrator,"linux, windows, networking, virtualization, server management","₹30,000 - ₹55,000",Industry Innovation,12th_pass,6,"Learn Linux|Learn Windows|Learn Networking|Learn virtualization|Apply",https://www.redhat.com
IT Support Specialist,"computer hardware, networking, troubleshooting, customer service","₹20,000 - ₹35,000",Industry Innovation,12th_pass,4,"Learn computer basics|Learn troubleshooting|Get certified|Apply",https://www.comptia.org
