job_title,job_title_hi,required_skills,required_skills_hi,salary,SDG_category,SDG_category_hi,min_education,training_duration,pathway_steps,pathway_steps_hi,training_providers_link
Agricultural Technician,कृषि तकनीशियन,"farming, basic math, observation","खेती, बुनियादी गणित, अवलोकन","₹15,000-25,000",Zero Hunger,शून्य भूख,10th_pass,3,Complete basic agriculture training|Get hands-on experience at local farms|Obtain certification|Start working as farm technician,बुनियादी कृषि प्रशिक्षण पूरा करें|स्थानीय खेतों में अनुभव लें|प्रमाणपत्र प्राप्त करें|खेत तकनीशियन बनें,#
Solar Panel Installer,सोलर पैनल इंस्टॉलर,"basic technical skills, height comfort, safety awareness","बुनियादी तकनीकी कौशल, ऊंचाई का सामना, सुरक्षा जागरूकता","₹18,000-30,000",Affordable Clean Energy,सस्ती स्वच्छ ऊर्जा,10th_pass,4,Complete solar installation training|Assist experienced installers|Get certified|Start independent installation,सौर स्थापना प्रशिक्षण पूरा करें|अनुभवी इंस्टॉलर की सहायता करें|प्रमाणित हों|स्वतंत्र स्थापना शुरू करें,#
Healthcare Assistant,हेल्थकेयर असिस्टेंट,"caregiving, communication, basic hygiene, empathy","देखभाल, संचार, बुनियादी स्वच्छता, सहानुभूति","₹12,000-20,000",Good Health and Well-being,अच्छा स्वास्थ्य और कल्याण,12th_pass,6,Complete healthcare assistant course|Get certified|Gain internship experience|Apply to hospitals,हेल्थकेयर सहायक कोर्स करें|प्रमाणित हों|इंटर्नशिप करें|अस्पतालों में आवेदन करें,#
Digital Literacy Trainer,डिजिटल साक्षरता प्रशिक्षक,"computer basics, communication, teaching, patience","कंप्यूटर बेसिक, संचार, शिक्षण, धैर्य","₹15,000-28,000",Quality Education,गुणवत्तापूर्ण शिक्षा,12th_pass,2,Complete trainer program|Volunteer at community centers|Get certified|Start teaching,प्रशिक्षक प्रोग्राम करें|सामुदायिक केंद्रों में स्वयंसेवा करें|प्रमाणित हों|पढ़ाना शुरू करें,#
Electrician,इलेक्ट्रीशियन,"technical skills, problem solving, safety awareness, basic math","तकनीकी कौशल, समस्या समाधान, सुरक्षा जागरूकता, बुनियादी गणित","₹15,000-25,000",Affordable Clean Energy,सस्ती स्वच्छ ऊर्जा,10th_pass,6,Complete ITI electrician course|Get apprenticeship|Obtain license|Start working,आईटीआई इलेक्ट्रीशियन कोर्स करें|प्रशिक्षुता लें|लाइसेंस लें|काम शुरू करें,#
Plumber,प्लंबर,"plumbing skills, tools knowledge, problem solving, physical stamina","प्लंबिंग कौशल, उपकरण ज्ञान, समस्या समाधान, शारीरिक क्षमता","₹12,000-22,000",Clean Water and Sanitation,स्वच्छ जल और स्वच्छता,8th_pass,4,Complete plumbing training|Get apprenticeship|Join construction company|Start independent work,प्लंबिंग प्रशिक्षण करें|प्रशिक्षुता लें|निर्माण कंपनी में जुड़ें|स्वतंत्र काम शुरू करें,#
Tailoring Specialist,दर्जी विशेषज्ञ,"sewing, measurement, design sense, creativity, customer service","सिलाई, माप, डिजाइन समझ, रचनात्मकता, ग्राहक सेवा","₹10,000-18,000",Decent Work and Economic Growth,अच्छा काम और आर्थिक विकास,8th_pass,6,Complete tailoring course|Apprenticeship with master tailor|Build customer base|Start own tailoring shop,सिलाई कोर्स करें|मास्टर दर्जी के साथ प्रशिक्षुता लें|ग्राहक बनाएं|अपनी दुकान खोलें,#
Mobile Repair Technician,मोबाइल रिपेयर तकनीशियन,"electronics knowledge, troubleshooting, fine motor skills, customer service","इलेक्ट्रॉनिक्स ज्ञान, समस्या समाधान, बारीक मोटर कौशल, ग्राहक सेवा","₹12,000-20,000",Industry Innovation and Infrastructure,उद्योग नवाचार और बुनियादी ढांचा,10th_pass,4,Complete mobile repair course|Practice on different models|Get certified|Open repair shop,मोबाइल रिपेयर कोर्स करें|विभिन्न मॉडलों पर अभ्यास करें|प्रमाणित हों|रिपेयर की दुकान खोलें,#
Anganwadi Worker,आंगनवाड़ी कार्यकर्ता,"childcare, teaching, hindi, communication, patience","बच्चों की देखभाल, शिक्षण, हिंदी, संचार, धैर्य","₹6,000-10,000",Quality Education,गुणवत्तापूर्ण शिक्षा,8th_pass,2,Complete 8th standard|Contact local Anganwadi center|Complete childcare training|Apply through government portal,8वीं पास करें|स्थानीय आंगनवाड़ी केंद्र से संपर्क करें|बाल देखभाल प्रशिक्षण करें|सरकारी पोर्टल से आवेदन करें,#
Data Entry Operator,डाटा एंट्री ऑपरेटर,"typing speed, computer basics, attention to detail, english","टाइपिंग स्पीड, कंप्यूटर बेसिक, विस्तार पर ध्यान, अंग्रेजी","₹9,000-15,000",Decent Work and Economic Growth,अच्छा काम और आर्थिक विकास,12th_pass,3,Complete 12th standard|Computer course|Typing practice|Apply for data entry jobs,12वीं पास करें|कंप्यूटर कोर्स करें|टाइपिंग अभ्यास करें|डाटा एंट्री जॉब के लिए आवेदन करें,#
Beautician,ब्यूटीशियन,"creativity, customer service, hygiene awareness, makeup skills","रचनात्मकता, ग्राहक सेवा, स्वच्छता जागरूकता, मेकअप कौशल","₹8,000-16,000",Decent Work and Economic Growth,अच्छा काम और आर्थिक विकास,10th_pass,6,Complete 10th standard|Beautician course|Apprenticeship at salon|Get certified|Start own salon,10वीं पास करें|ब्यूटीशियन कोर्स करें|सैलून में प्रशिक्षुता लें|प्रमाणित हों|अपना सैलून खोलें,#
Driver,ड्राइवर,"driving skills, navigation, traffic rules, customer service","ड्राइविंग कौशल, नेविगेशन, यातायात नियम, ग्राहक सेवा","₹10,000-18,000",Industry Innovation and Infrastructure,उद्योग नवाचार और बुनियादी ढांचा,8th_pass,2,Get driving license|Learn navigation|Defensive driving course|Join transport service,ड्राइविंग लाइसेंस लें|नेविगेशन सीखें|डिफेंसिव ड्राइविंग कोर्स करें|ट्रांसपोर्ट सर्विस में जुड़ें,#
Sales Assistant,सेल्स असिस्टेंट,"communication, customer service, basic math, persuasion","संचार, ग्राहक सेवा, बुनियादी गणित, मनाने की कला","₹8,000-15,000",Decent Work and Economic Growth,अच्छा काम और आर्थिक विकास,10th_pass,2,Complete 10th standard|Sales training|Retail exposure|Join retail store,10वीं पास करें|सेल्स ट्रेनिंग करें|रिटेल एक्सपोजर लें|रिटेल स्टोर में जुड़ें,#
Carpenter,बढ़ई,"woodworking, measurement, design understanding, tool use","लकड़ी का काम, माप, डिजाइन समझ, उपकरण उपयोग","₹10,000-18,000",Decent Work and Economic Growth,अच्छा काम और आर्थिक विकास,8th_pass,6,Basic education|Carpentry training|Apprenticeship|Start own workshop,बुनियादी शिक्षा|बढ़ईगीरी प्रशिक्षण|प्रशिक्षुता|अपनी कार्यशाला शुरू करें,#
Welder,वेल्डर,"technical skills, safety awareness, precision, metal work","तकनीकी कौशल, सुरक्षा जागरूकता, सटीकता, धातु कार्य","₹12,000-22,000",Industry Innovation and Infrastructure,उद्योग नवाचार और बुनियादी ढांचा,10th_pass,6,Complete 10th standard|Welding training course|Certification|Join manufacturing unit,10वीं पास करें|वेल्डिंग ट्रेनिंग कोर्स करें|प्रमाणित हों|मैन्युफैक्चरिंग यूनिट में जुड़ें,#
