scheme_name,eligible_criteria,benefits,application_link,linked_SDG,linked_jobs
PMKVY (Pradhan Mantri Kaushal Vikas Yojana),"14-45 years, basic education",Free training + certification + placement assistance,https://www.pmkvyofficial.org,SDG8,"Solar Panel Installer,Electrician,Plumber,Tailoring,Mobile Repair,Computer Teacher,Data Entry Operator,Digital Marketing,Web Designer,Software Developer,Healthcare Assistant,Beautician,Driver,Graphic Designer,Content Writer,Customer Support,Agricultural Technician"
DDU-GKY (Deen Dayal Upadhyaya Grameen Kaushalya Yojana),"Rural youth, 15-35 years",Free training + stipend + placement,https://ddugky.gov.in,SDG1,"All technical and skilled jobs,Solar Panel Installer,Electrician,Plumber,Mobile Repair,Agricultural Technician,Healthcare Assistant,Computer Teacher,Data Entry Operator"
NSDC Skill India,"All Indian citizens",Subsidized training courses,https://www.skillindia.gov.in,SDG8,"All Skilled Jobs,Solar Panel Installer,Digital Marketing,Healthcare Assistant,Computer Teacher,Web Designer,Software Developer,Data Entry Operator"
NRLM (National Rural Livelihood Mission),"Rural women, below poverty line",Skill training + financial support,https://aajeevika.gov.in,SDG1,"Tailoring,Beautician,Food Processing,Handicraft Artisan,Agri-business,Small Enterprise"
PMEGP (Prime Minister's Employment Generation Programme),"18+ years, minimum 8th pass",Credit-linked subsidy for business,https://www.kviconline.gov.in/pmegp,SDG8,"Tailoring,Mobile Repair,Beautician,Plumbing,Electrician,Driver,Carpentry,Painting,Food Processing"
National Apprenticeship Promotion Scheme,"18+ years, relevant qualifications",Stipend support to employers,https://apprenticeshipindia.gov.in,SDG4,"Electrician,Plumber,Mobile Repair,Automobile Mechanic,AC Technician,Welder,Carpenter"
Pradhan Mantri Gramin Digital Saksharta Abhiyan,"Rural households, 14-60 years",Digital literacy training,https://www.pmgdisha.in,SDG4,"Computer Teacher,Data Entry Operator,Digital Marketing,Content Writer,Graphic Designer"
National Rural Health Mission,"Rural youth with science background",Training for healthcare workers,https://nhm.gov.in,SDG3,"Healthcare Assistant,Community Health Worker,Nurse,Pharmacist,Lab Technician,Health Educator"
Solar Rooftop Programme,"Homeowners, institutions",Subsidy for solar installation,https://solarrooftop.gov.in,SDG7,"Solar Panel Installer,Electrician,AC Technician"
Pradhan Mantri Awas Yojana,"Economically weaker sections",Housing subsidy + skill training,https://pmay-urban.gov.in,SDG11,"Electrician,Plumber,Carpenter,Mason,Painter"
National Career Service Portal,"All job seekers",Job matching + career counseling,https://www.ncs.gov.in,SDG8,"All Employment Sectors"
Pradhan Mantri Kaushal Kendras,"School dropouts, unemployed youth",Skill training centers across India,https://www.pmkvyofficial.org,SDG4,"Multi-skill Training, Vocational Jobs,Solar Panel Installer,Electrician,Plumber,Mobile Repair"
Stand Up India Scheme,"SC/ST/Women entrepreneurs, 18+ years",Bank loan for business (₹10 lakh - ₹1 crore),https://www.standupmitra.in,SDG8,"Tailoring,Beautician,Mobile Repair,Food Processing,Small Enterprise"
MUDRA Yojana (Pradhan Mantri MUDRA Yojana),"Small business owners, entrepreneurs",Loans up to ₹10 lakh for small businesses,https://www.mudra.org.in,SDG8,"Retail Store,Food Stall,Salon/Tailoring,Small Workshop,Transport Service"
Skill Development Initiative Scheme,"Indian citizens, 18-35 years",Short term skill development training,https://www.skilldevelopment.gov.in,SDG4,"All Skilled Jobs,Automobile Mechanic,AC Technician,Welder,Carpenter"
National Apprenticeship Training Scheme (NATS),"Graduates/Diploma holders, 21-30 years",Apprenticeship training + stipend,https://www.mhrd.gov.in/nats,SDG4,"Software Developer,Web Designer,Digital Marketing,Data Analyst,Accountant"
National Institute of Open Schooling (NIOS),"All age groups, school dropouts",Vocational education + certification,https://www.nios.ac.in,SDG4,"Computer Teacher,Data Entry Operator,Tailoring,Beautician,Driver"
Deen Dayal Upadhyaya Grameen Kaushalya Yojana (DDU-GKY),"Rural poor youth, 15-35 years",Skill training + placement + post-placement support,https://ddugky.gov.in,SDG1,"All Rural Skilled Jobs,Agricultural Technician,Solar Panel Installer,Plumber,Electrician"
Rural Self Employment Training Institute (RSETI),"Rural youth, 18-45 years",Entrepreneurship training + bank linkage,https://www.rseti.in,SDG8,"Tailoring,Beautician,Mobile Repair,Food Processing,Small Business"
Jan Shikshan Sansthan (JSS),"Educationally disadvantaged communities",Vocational training for self-employment,https://www.janshikshan.in,SDG4,"Tailoring,Beautician,Computer Teacher,Data Entry Operator,Handicrafts"
National Skill Training Institute (NSTI),"ITI passouts, graduates, 15-30 years",Advanced skill training + certification,https://www.nsti.gov.in,SDG4,"Electrician,Plumber,Welder,Carpenter,AC Technician,Automobile Mechanic"
Pradhan Mantri Yuva Yojana,"Youth, 18-30 years",Entrepreneurship education + mentoring,https://www.yuva.gov.in,SDG8,"Business,Startup,Digital Marketing,Content Creation,Social Media Management"
